timestamp,username,department,job_title,action,resource,resource_sensitivity,final_risk_score,final_risk_level,confidence,unauthorized,is_night,is_weekend,is_off_hours,first_access_resource,ml_flag,tenure_months,days_inactive,privilege_level,alert_title,context_bullets,detailed_explanation,business_impact,recommendation,ground_truth,model_pred
2025-07-31 22:33:00,zainab.jo,Sales,Architect,export_data,PROD_DB,high,100.0,Critical,94,True,1,0,1,True,1,14,14,admin,BULK DATA EXFILTRATION RISK,"• Resource 'PROD_DB' is NOT in approved systems for Sales department
• First-ever access to 'PROD_DB' by this user — no prior history
• Access at 22:00 hrs — deep night hours (22:00–06:00)
• Admin-level privilege used to access a resource outside approved scope — privilege escalation risk
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier
• Sales department accessing restricted-sensitivity data — cross-domain exposure risk","zainab.jo (Sales, Architect) exported data from the production database (live business data) on 2025-07-31 at 10:33 PM. This resource is NOT part of the approved systems profile for Sales users. 'PROD_DB' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Access at 22:00 hrs falls in deep night hours — no legitimate business justification recorded. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 100.0/100.",Production database export is a critical event. Live business data across all systems is at risk of exfiltration. Service disruption and data breach risk.,IMMEDIATE: Suspend user account pending investigation | REVOKE: Remove unauthorized resource access immediately | BLOCK: Revoke data export permissions immediately | Identify destination of exported data and attempt recall/containment | Pull full 72-hour audit trail for zainab.jo | Review all access logs for PROD_DB in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed,1,1
2025-08-13 00:03:00,david.rodriguez,HR,Developer,admin_operation,Customer_Vault,high,100.0,Critical,95,True,1,0,1,True,1,28,43,service-account,PRIVILEGED SYSTEM COMPROMISE RISK,"• Resource 'Customer_Vault' is NOT in approved systems for HR department
• First-ever access to 'Customer_Vault' by this user — no prior history
• Access at 00:00 hrs — deep night hours (22:00–06:00)
• Account inactive for 43 days — reactivation on sensitive resource warrants review
• Service account performing human-like interactive operations — possible credential abuse
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier","david.rodriguez (HR, Developer) performed admin operations on the customer PII database (names, emails, payment data) on 2025-08-13 at 12:03 AM. This resource is NOT part of the approved systems profile for HR users. 'Customer_Vault' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Access at 00:00 hrs falls in deep night hours — no legitimate business justification recorded. Account was inactive for 43 days before this access — reactivation on sensitive data warrants investigation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 100.0/100.","Admin-level operation on customer data vault. Risk of schema changes, data deletion, or backdoor account creation. Critical compliance violation.",IMMEDIATE: Suspend user account pending investigation | REVOKE: Remove unauthorized resource access immediately | Pull full 72-hour audit trail for david.rodriguez | Review all access logs for Customer_Vault in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed | Investigate why dormant account was reactivated — possible credential theft,1,1
2025-05-17 01:07:00,maria.bianchi,Marketing,Officer,admin_operation,PROD_DB,high,100.0,Critical,97,True,1,1,1,True,1,0,40,service-account,PRIVILEGED SYSTEM COMPROMISE RISK,"• Resource 'PROD_DB' is NOT in approved systems for Marketing department
• First-ever access to 'PROD_DB' by this user — no prior history
• Access at 01:00 hrs — deep night hours (22:00–06:00)
• Access occurred on a weekend — no scheduled maintenance or on-call duty noted
• New employee — only 0 month(s) with the company, limited baseline established
• Account inactive for 40 days — reactivation on sensitive resource warrants review
• Service account performing human-like interactive operations — possible credential abuse
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier
• Marketing department accessing restricted-sensitivity data — cross-domain exposure risk","maria.bianchi (Marketing, Officer) performed admin operations on the production database (live business data) on 2025-05-17 at 01:07 AM. This resource is NOT part of the approved systems profile for Marketing users. 'PROD_DB' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Access at 01:00 hrs falls in deep night hours — no legitimate business justification recorded. Weekend access with no documented maintenance window or on-call rotation. User has only 0 month(s) of tenure — limited behavioral baseline; access to sensitive systems is premature. Account was inactive for 40 days before this access — reactivation on sensitive data warrants investigation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 100.0/100.","Admin operation on production database is highest-severity — table drops, schema changes, or injected data could cause catastrophic business disruption.",IMMEDIATE: Suspend user account pending investigation | REVOKE: Remove unauthorized resource access immediately | Pull full 72-hour audit trail for maria.bianchi | Review all access logs for PROD_DB in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed | Investigate why dormant account was reactivated — possible credential theft,1,1
2025-09-07 18:51:00,nikhil.rao,Executive,Lead,export_data,GL_System,high,99.3,Critical,94,False,0,1,1,False,1,2,56,admin,BULK DATA EXFILTRATION RISK,"• First data export action ever recorded for this user
• Access at 18:00 hrs — outside standard business hours (09:00–17:00)
• Access occurred on a weekend — no scheduled maintenance or on-call duty noted
• New employee — only 2 month(s) with the company, limited baseline established
• Account dormant for 56 days — sudden activity on sensitive systems is high risk
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier
• Executive department accessing restricted-sensitivity data — cross-domain exposure risk","nikhil.rao (Executive, Lead) exported data from the general ledger (financial transactions, account balances) on 2025-09-07 at 06:51 PM. 'GL_System' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Access at 18:00 hrs is outside standard working hours (09:00–17:00). Weekend access with no documented maintenance window or on-call rotation. User has only 2 month(s) of tenure — limited behavioral baseline; access to sensitive systems is premature. Account was inactive for 56 days before this access — reactivation on sensitive data warrants investigation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 99.3/100.",Export of general ledger data before quarter-end or resignation indicates possible financial fraud risk. SOX 302 violation. Competitor intelligence threat.,IMMEDIATE: Suspend user account pending investigation | BLOCK: Revoke data export permissions immediately | Identify destination of exported data and attempt recall/containment | Pull full 72-hour audit trail for nikhil.rao | Review all access logs for GL_System in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed | Investigate why dormant account was reactivated — possible credential theft,1,1
2025-05-27 00:43:00,ryan.colombo,Engineering,Analyst,export_data,PROD_DB,high,94.3,Critical,95,True,1,0,1,True,1,6,49,service-account,BULK DATA EXFILTRATION RISK,"• Access to PROD_DB is outside normal role scope for this user
• First-ever access to 'PROD_DB' by this user — no prior history
• First data export action ever recorded for this user
• Access at 00:00 hrs — deep night hours (22:00–06:00)
• Account inactive for 49 days — reactivation on sensitive resource warrants review
• Service account performing human-like interactive operations — possible credential abuse
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier
• Engineering department accessing restricted-sensitivity data — cross-domain exposure risk
• Context note: should be done via staging — direct prod access is risky","ryan.colombo (Engineering, Analyst) exported data from the production database (live business data) on 2025-05-27 at 12:43 AM. This resource is NOT part of the approved systems profile for Engineering users. 'PROD_DB' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Access at 00:00 hrs falls in deep night hours — no legitimate business justification recorded. Account was inactive for 49 days before this access — reactivation on sensitive data warrants investigation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 94.3/100.",Production database export is a critical event. Live business data across all systems is at risk of exfiltration. Service disruption and data breach risk.,IMMEDIATE: Suspend user account pending investigation | REVOKE: Remove unauthorized resource access immediately | BLOCK: Revoke data export permissions immediately | Identify destination of exported data and attempt recall/containment | Pull full 72-hour audit trail for ryan.colombo | Review all access logs for PROD_DB in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed | Investigate why dormant account was reactivated — possible credential theft,1,1
2025-08-03 22:40:00,daniel.colombo,Sales,Specialist,export_data,Admin_Console,medium,94.2,Critical,95,True,1,1,1,False,1,5,52,power-user,BULK DATA EXFILTRATION RISK,"• Resource 'Admin_Console' is NOT in approved systems for Sales department
• First data export action ever recorded for this user
• Access at 22:00 hrs — deep night hours (22:00–06:00)
• Access occurred on a weekend — no scheduled maintenance or on-call duty noted
• Relatively new employee (5 months) — access patterns still being established
• Account dormant for 52 days — sudden activity on sensitive systems is high risk
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier","daniel.colombo (Sales, Specialist) exported data from the privileged administration console (system-wide access controls) on 2025-08-03 at 10:40 PM. This resource is NOT part of the approved systems profile for Sales users. Access at 22:00 hrs falls in deep night hours — no legitimate business justification recorded. Weekend access with no documented maintenance window or on-call rotation. Account was inactive for 52 days before this access — reactivation on sensitive data warrants investigation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 94.2/100.","Admin console data export could reveal system configurations, user access lists, and security policies — valuable for attackers planning escalation.",IMMEDIATE: Suspend user account pending investigation | REVOKE: Remove unauthorized resource access immediately | BLOCK: Revoke data export permissions immediately | Identify destination of exported data and attempt recall/containment | Pull full 72-hour audit trail for daniel.colombo | Review all access logs for Admin_Console in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed | Investigate why dormant account was reactivated — possible credential theft,1,1
2025-05-04 15:55:00,zainab.jo,Sales,Architect,export_data,Customer_Vault,high,93.5,Critical,94,True,0,1,0,True,1,11,14,admin,BULK DATA EXFILTRATION RISK,"• Access to Customer_Vault is outside normal role scope for this user
• First-ever access to 'Customer_Vault' by this user — no prior history
• Access occurred on a weekend — no scheduled maintenance or on-call duty noted
• Admin-level privilege used to access a resource outside approved scope — privilege escalation risk
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier
• Sales department accessing restricted-sensitivity data — cross-domain exposure risk","zainab.jo (Sales, Architect) exported data from the customer PII database (names, emails, payment data) on 2025-05-04 at 03:55 PM. This resource is NOT part of the approved systems profile for Sales users. 'Customer_Vault' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Weekend access with no documented maintenance window or on-call rotation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 93.5/100.","Potential exfiltration of customer PII (names, emails, payment info). GDPR breach risk with penalties up to 4% of annual global turnover. Customer trust and brand reputation at severe risk.",IMMEDIATE: Suspend user account pending investigation | REVOKE: Remove unauthorized resource access immediately | BLOCK: Revoke data export permissions immediately | Identify destination of exported data and attempt recall/containment | Pull full 72-hour audit trail for zainab.jo | Review all access logs for Customer_Vault in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed,1,1
2026-03-29 10:54:06,zainab.jo,Sales,Architect,admin_operation,Customer_Vault,high,93.5,Critical,93,True,0,1,0,False,1,22,14,admin,PRIVILEGED SYSTEM COMPROMISE RISK,"• Access to Customer_Vault is outside normal role scope for this user
• Access occurred on a weekend — no scheduled maintenance or on-call duty noted
• Admin-level privilege used to access a resource outside approved scope — privilege escalation risk
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier
• Sales department accessing restricted-sensitivity data — cross-domain exposure risk","zainab.jo (Sales, Architect) performed admin operations on the customer PII database (names, emails, payment data) on 2026-03-29 at 10:54 AM. This resource is NOT part of the approved systems profile for Sales users. 'Customer_Vault' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Weekend access with no documented maintenance window or on-call rotation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 93.5/100.","Admin-level operation on customer data vault. Risk of schema changes, data deletion, or backdoor account creation. Critical compliance violation.",IMMEDIATE: Suspend user account pending investigation | REVOKE: Remove unauthorized resource access immediately | Pull full 72-hour audit trail for zainab.jo | Review all access logs for Customer_Vault in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed,1,1
2025-05-13 23:50:00,pooja.mishra,Finance,Developer,sql_query,HRIS,high,92.0,Critical,94,False,1,0,1,True,1,18,59,admin,MASS DATA EXTRACTION ATTEMPT,"• First-ever access to 'HRIS' by this user — no prior history
• Access at 23:00 hrs — deep night hours (22:00–06:00)
• Account dormant for 59 days — sudden activity on sensitive systems is high risk
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier","pooja.mishra (Finance, Developer) ran a SQL query on the HR information system (salaries, personal records, performance data) on 2025-05-13 at 11:50 PM. 'HRIS' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Access at 23:00 hrs falls in deep night hours — no legitimate business justification recorded. Account was inactive for 59 days before this access — reactivation on sensitive data warrants investigation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 92.0/100.","Direct SQL access to HR records including salary bands, disciplinary history, and personal data. Significant privacy violation if unauthorized.",IMMEDIATE: Suspend user account pending investigation | Pull full 72-hour audit trail for pooja.mishra | Review all access logs for HRIS in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed | Investigate why dormant account was reactivated — possible credential theft,0,1
2025-07-07 20:34:00,neha.o'brien,Finance,Officer,admin_operation,PROD_DB,high,92.0,Critical,93,False,0,0,1,True,1,12,57,admin,PRIVILEGED SYSTEM COMPROMISE RISK,"• First-ever access to 'PROD_DB' by this user — no prior history
• Access at 20:00 hrs — outside standard business hours (09:00–17:00)
• Account dormant for 57 days — sudden activity on sensitive systems is high risk
• Behaviour flagged by ML anomaly detector (Isolation Forest) as statistical outlier","neha.o'brien (Finance, Officer) performed admin operations on the production database (live business data) on 2025-07-07 at 08:34 PM. 'PROD_DB' is classified as HIGH SENSITIVITY — any unauthorized or anomalous access carries significant compliance risk (GDPR Art.32 / SOX 302). Access at 20:00 hrs is outside standard working hours (09:00–17:00). Account was inactive for 57 days before this access — reactivation on sensitive data warrants investigation. The ML anomaly detection engine (Isolation Forest, 25% contamination threshold) flagged this event as a statistical outlier against peer behavior. Composite risk score: 92.0/100.","Admin operation on production database is highest-severity — table drops, schema changes, or injected data could cause catastrophic business disruption.",IMMEDIATE: Suspend user account pending investigation | Pull full 72-hour audit trail for neha.o'brien | Review all access logs for PROD_DB in the past 7 days | Notify Security Operations Center (SOC) and CISO | Escalate to HR and Legal if insider threat confirmed | Investigate why dormant account was reactivated — possible credential theft,1,1
